COLUMN
VISITDAY
A2COMM
A2NOT
A2SUB
A3COMM
A3NOT
A3SUB
A4COMM
A4NOT
A4SUB
ABRUPT
ABUSOTHR
ABUSX
ADCID
AFRAID
AGIT
AGITSEV
ALCDEM
ALCDEMIF
ALCOHOL
ANIMALS
ANX
ANXSEV
ANYMEDS
APA
APASEV
APP
APPSEV
ARISING
ARISINGX
B12DEF
B1COMM
B1NOT
B1SUB
B2COMM
B2NOT
B2SUB
B3COMM
B3NOT
B3SUB
B5COMM
B5NOT
B5SUB
B6COMM
B6NOT
B6SUB
B7COMM
B7NOT
B7SUB
B8COMM
B8NOT
B8SUB
BEAGIT
BEAHALL
BEAPATHY
BEDEL
BEDEP
BEDISIN
BEFRST
BEFRSTX
BEIRRIT
BEMODE
BEMODEX
BEOTHR
BEOTHRX
BEPERCH
BEREM
BETTER
BEVHALL
BEVWELL
BILLS
BIRTHMO
BIRTHYR
BORED
BOSTON
BPDIAS
BPSYS
BRADYKIN
BRADYKIX
BRNINJ
BRNINJIF
CBOTHR
CBOTHRX
CBSTROKE
CBTIA
CDRGLOB
CDRLANG
CDRSUM
COGATTN
COGFLUC
COGFRST
COGFRSTX
COGJUDG
COGLANG
COGMEM
COGMODE
COGMODEX
COGOTH
COGOTH2F
COGOTH2X
COGOTH3F
COGOTH3X
COGOTHIF
COGOTHR
COGOTHRX
COGOTHX
COGSTAT
COGVIS
COMMUN
COMPORT
CORT
CORTIF
COURSE
CSFANTEM
CTDIG
CVAFIB
CVANGIO
CVBYPASS
CVCHF
CVDCOG
CVDIMAG
CVDIMAG1
CVDIMAG2
CVDIMAG3
CVDIMAG4
CVDIMAGX
CVHATT
CVOTHR
CVOTHRX
CVPACE
DADDEM
DADLIV
DADONSET
DADYOB
DADYOD
DECAGE
DECCLIN
DECIN
DECSUB
DEL
DELSEV
DEMENTED
DEMUN
DEMUNIF
DEP
DEP2YRS
DEPD
DEPDSEV
DEPIF
DEPOTHR
DIABETES
DIGIB
DIGIBLEN
DIGIF
DIGIFLEN
DISN
DISNSEV
DLB
DLBIF
DNA
DOWNS
DOWNSIF
DROPACT
DRUGID
DYSILL
DYSILLIF
EDUC
ELAT
ELATSEV
EMOT
EMPTY
ENERGY
EVENTS
EYEMOVE
FACEXP
FACEXPX
FOCLDEF
FOCLSIGN
FOCLSYM
FORMID
FORMVER
FRSTCHG
FTD
FTDIF
GAIT
GAITDIS
GAITX
GAMES
GDS
HACHIN
HALL
HALLSEV
HANDALTL
HANDALTR
HANDATLX
HANDATRX
HANDED
HANDMOVL
HANDMOVR
HANDMVLX
HANDMVRX
HAPPY
HEARAID
HEARING
HEARWAID
HEIGHT
HELPLESS
HISPANIC
HISPOR
HISPORX
HOMEHOBB
HOPELESS
HRATE
HUNT
HUNTIF
HXHYPER
HXSTROKE
HYCEPH
HYCEPHIF
HYPERCHO
HYPERTEN
IMPNOMCI
INBIRMO
INBIRYR
INCALLS
INCONTF
INCONTU
INDEPEND
INEDUC
INHISP
INHISPOR
INHISPOX
INITIALS
INLIVWTH
INMDS
INRACE
INRACEX
INRASEC
INRASECX
INRATER
INRATERX
INRELTO
INRELTOX
INRELY
INSEX
INVISITS
IRR
IRRSEV
JUDGMENT
KID10DEM
KID10LIV
KID10ONS
KID10YOB
KID10YOD
KID11DEM
KID11LIV
KID11ONS
KID11YOB
KID11YOD
KID12DEM
KID12LIV
KID12ONS
KID12YOB
KID12YOD
KID13DEM
KID13LIV
KID13ONS
KID13YOB
KID13YOD
KID14DEM
KID14LIV
KID14ONS
KID14YOB
KID14YOD
KID15DEM
KID15LIV
KID15ONS
KID15YOB
KID15YOD
KID1DEM
KID1LIV
KID1ONS
KID1YOB
KID1YOD
KID2DEM
KID2LIV
KID2ONS
KID2YOB
KID2YOD
KID3DEM
KID3LIV
KID3ONS
KID3YOB
KID3YOD
KID4DEM
KID4LIV
KID4ONS
KID4YOB
KID4YOD
KID5DEM
KID5LIV
KID5ONS
KID5YOB
KID5YOD
KID6DEM
KID6LIV
KID6ONS
KID6YOB
KID6YOD
KID7DEM
KID7LIV
KID7ONS
KID7YOB
KID7YOD
KID8DEM
KID8LIV
KID8ONS
KID8YOB
KID8YOD
KID9DEM
KID9LIV
KID9ONS
KID9YOB
KID9YOD
KIDS
LEGLF
LEGLFX
LEGRT
LEGRTX
LIVSIT
LIVSITX
LOGIDAY
LOGIMEM
LOGIMO
LOGIPREV
LOGIYR
MARISTAT
MARISTAX
MCIAMEM
MCIAPATT
MCIAPEX
MCIAPLAN
